text,created_at,id,username,retweet_count,like_count,source
"Terima kasih untuk segala perhatian dan doa untuk saya dan keluarga pada hari ini. 

Sekarang, negeri ini membutuhkan kerja keras kita semua untuk bersama-sama keluar dari pandemi. Tetaplah sehat, patuhi protokol kesehatan, semoga Allah SWT senantiasa melindungi kita. https://t.co/ddh4lQzU9X",2021-06-21 11:41:10,1406940250518089728,jokowi,1717,15195,Twitter for Android
"Indonesia telah menerima 104.728.400 dosis vaksin dari Sinovac, AstraZeneca, dan Sinopharm. Jumlah ini adalah bagian dari sekitar 426,8 juta dosis vaksin Covid-19 yang telah kita amankan melalui berbagai pendekatan bilateral dan multilateral.",2021-06-21 10:23:11,1406920627240411137,jokowi,114,1045,Twitter for Android
"Sejak Kamis, sesuai target, pemerintah telah mencatat angka 716 ribu vaksinasi per harinya. Ke depan, kita berusaha mencapai angka satu juta vaksinasi per hari. 

Dengan kerja sama yang baik antara Kemenkes, TNI, Polri, dan pemerintah daerah, target itu tentu akan kita capai.",2021-06-21 10:23:11,1406920625436774401,jokowi,92,996,Twitter for Android
"Lonjakan Covid-19 di beberapa daerah membuat kita harus bekerja lebih keras lagi untuk mengendalikan pandemi ini. 

Selain kebijakan PPKM mikro, pemerintah menggenjot pelaksanaan vaksinasi massal untuk mengejar kekebalan komunal terhadap Covid-19. https://t.co/BuFHMlNzor",2021-06-21 10:23:10,1406920623301873665,jokowi,520,3818,Twitter for Android
"Sebanyak 10 juta dosis bahan baku vaksin Sinovac tiba di Indonesia, siang ini. Dengan demikian, Indonesia telah menerima 104,7 juta dosis vaksin dari Sinovac, AstraZeneca, dan Sinopharm. 

Pemerintah berupaya mendatangkan vaksin, dan masyarakat menaati protokol kesehatan. https://t.co/XO3tpRPbsH",2021-06-20 10:17:13,1406556737197330435,jokowi,1110,7598,Twitter for Android
"Vaksinasi bagi warga Bogor hari ini digelar di Stadion Pakansari, serta rumah sakit dan puskesmas di kabupaten itu. 

Penerima vaksin adalah kaum lanjut usia, pendidik, pedagang pasar, tokoh agama, pegawai, pelayan publik, difabel, pelaku transportasi, dan masyarakat rentan lain. https://t.co/l0wOdMXuuf",2021-06-17 08:03:36,1405435949274714113,jokowi,326,3218,Twitter for Android
"Vaksinasi massal Covid-19 bagi para pengguna KRL, pelaku ekonomi dan masyarakat sekitar Stasiun Bogor digelar pagi ini menggunakan vaksin AstraZeneca.

Vaksinasi di tempat publik dengan mobilitas dan interaksi tinggi harus menjadi prioritas demi menekan penyebaran Covid-19. https://t.co/5WvSnaHAQ6",2021-06-17 06:12:15,1405407925871398916,jokowi,406,3495,Twitter for Android
Selamat bekerja Bapak Rusdy Mastura dan Bapak Ma'mun Amir sebagai Gubernur dan Wakil Gubernur Sulawesi Tengah masa jabatan 2021-2024. https://t.co/duVfvrrI0f,2021-06-16 13:18:41,1405152852587147270,jokowi,462,5370,Twitter for Android
"Vaksinasi massal Covid-19 hari ini digelar di Tennis Indoor Senayan untuk pekerja sektor perbankan, pasar modal, dan industri. Mereka divaksinasi dengan vaksin AstraZeneca. 

Vaksinasi massal kita gencarkan di semua sektor untuk mempercepat kekebalan komunal. https://t.co/9S5ud54Xqk",2021-06-16 05:45:51,1405038892865101827,jokowi,494,4101,Twitter for Android
"Kawasan seperti di Kompleks Rusun Tanah Tinggi, Jakarta ini padat interaksi sehingga warganya perlu mendapatkan prioritas vaksinasi.

Pemerintah menargetkan vaksinasi 100.000 dosis per hari untuk wilayah Jakarta, mudah-mudahan bisa menjangkau 7,5 juta warga pada akhir Agustus. https://t.co/HiVqv5e8wJ",2021-06-14 06:16:11,1404321753690562560,jokowi,414,3924,Twitter for Android
"Stadion Patriot Candrabhaga, Kota Bekasi, tiga hari ini, jadi lokasi pelaksanaan vaksinasi massal Covid-19 bagi kurang lebih 4.500 orang lansia, pekerja publik, difabel, hingga masyarakat umum.

Stadion sepakbola memungkinkan vaksinasi dilakukan dalam jumlah yang sangat besar. https://t.co/gPEWHnXAEy",2021-06-14 04:27:45,1404294466425421826,jokowi,343,2789,Twitter for Android
"Saya berharap Bandara Soedirman ini akan memberikan kontribusi bagi pertumbuhan ekonomi bagi Kabupaten Purbalingga dan daerah sekitarnya seperti Banyumas, Cilacap, Banjarnegara, Wonosobo, sampai Kebumen.",2021-06-12 05:02:06,1403578333250523136,jokowi,103,1393,Twitter for Android
"Saya meninggalkan Bandara Soedirman di Kab. Purbalingga, seusai kunjungan singkat, kemarin. 

Bandara ini baru beroperasi sepuluh hari, bahkan baru melayani penerbangan komersial Jakarta-Purbalingga dan Purbalingga-Surabaya dengan Citilink pada 3 Juni 2021. https://t.co/7RCv4fErJi",2021-06-12 05:02:05,1403578330733940738,jokowi,478,5620,Twitter for Android
"Jalan tol Semarang-Demak yang sedang dibangun ini panjangnya 26,7 km dan jadi bagian dari jaringan tol koridor Pantai Utara Jawa.

Fungsinya selain sebagai jalan tol, juga sebagai pengendalian banjir rob karena akan terpadu dengan tanggul laut yang melewati pesisir Semarang. https://t.co/J0yyHDfc64",2021-06-11 14:09:43,1403353758491316227,jokowi,485,4591,Twitter for Android
"Saya berharap Bandara Soedirman ini akan memberikan kontribusi bagi pertumbuhan ekonomi bagi Kabupaten Purbalingga dan daerah sekitarnya seperti Banyumas, Cilacap, Banjarnegara, Wonosobo, sampai Kebumen.",2021-06-11 06:15:37,1403234444677320707,jokowi,117,1169,Twitter for Android
