nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
RedDoorz near Ambarukmo Yogyakarta,"<span itemprop=""address"">Jl. Sindoro No. 297 A, Banguntapan, Sorowajan Baru, Yogyakarta</span>",6,6
Wonderloft Hostel Jogja,"<span itemprop=""address"">Jl. Tirtodipuran No. 47, Mantrijeron, DI Yogyakarta, Indonesia</span>",1,2
RedDoorz Plus Syariah near Lempuyangan Station 3,"<span itemprop=""address"">Jl. Tukangan No.29, Tegal Panggung, Danurejan, Lempuyangan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",4,4
RedDoorz near Terminal Condong Catur,"<span itemprop=""address"">Jl. Anggajaya I No. 268 A, Sanggarahan, Condong Catur, Yogyakarta, Indonesia</span>",18,36
RedDoorz near Terminal Wates Kulon Progo,"<span itemprop=""address"">JL. K.H. Ahmad Dahlan, Wates - Purworejo KM.2, Kulon Progo, Daerah Istimewa Yogyakarta</span>",5,10
RedDoorz Syariah Near Wijilan 2 Yogyakarta,"<span itemprop=""address"">Dipowinatan MG I/332 RT 011/RW 003 Yogyakarta, Keparakan, Mergangsan, Yogyakarta City, DI Yogyakarta</span>",8,8
Alam Jogja Resort,"<span itemprop=""address"">Jl. Raya Stadion Maguwoharjo No.8, Sleman, Yogyakarta, Indonesia</span>",8,32
RedDoorz Plus near STIE YKPN,"<span itemprop=""address"">Jl. Waringinsari 5 No.1, Condongcatur, Seturan, Yogyakarta, Indonesia</span>",14,56
RedDoorz near Hartono Mall,"<span itemprop=""address"">Jl. Merpati, Condongcatur, Kec. Depok, Kabupaten Sleman, Yogyakarta, Indonesia</span>",11,33
RedDoorz @ Jalan Parangtritis,"<span itemprop=""address"">Jl. Parangtritis No.319, Saman, Bangunharjo, Sewon, Yogyakarta, Indonesia</span>",9,9
House Of Joy Sopalan,"<span itemprop=""address"">Jl. Satria III No.9, Sanggrahan, Maguwoharjo, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",7,7
RedDoorz Plus near Alun Alun Selatan 2,"<span itemprop=""address"">Jl. Tirtodipuran No.30, Yogyakarta, Mantrijeron, Yogyakarta, Indonesia</span>",13,52
RedDoorz near UGM 3,"<span itemprop=""address"">Jl. Kaliurang KM 4,5 Gang Kinanthi No.8, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",11,11
Bamboo Lengkung Cottage,"<span itemprop=""address"">Watu Kelir / Komplek Penginapan Pantai Indrayanti, Tepus, Tepus, Gunung Kidul, Provinsi Yogyakarta, Indonesia</span>",6,24
RedDoorz Plus @ Pogung Raya,"<span itemprop=""address"">Jl. Pogung Raya, Pastika Pogung Raya Residence No. E5 Pogung, Yogyakarta, Indonesia</span>",9,36
RedDoorz near Adisucipto Airport 3,"<span itemprop=""address"">Jl. Candi Sambisari No.88, Purwomartani, Kalasan, Yogyakarta, Indonesia</span>",6,6
RedDoorz Plus @ Jalan Parangtritis 2,"<span itemprop=""address"">Jalan Parangtritis KM 4 No 303 Bangunharjo, Sewon, Bantul, Yogyakarta, D.I.  Yogyakarta, Indonesia</span>",10,10
Nusalink Near UGM Sleman,"<span itemprop=""address"">Jl. Pastika Palagan Duksina No.2 A, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3,3
RedDoorz near Terminal A Adisucipto Airport,"<span itemprop=""address"">Jl. Kadirejo 1 RT.07 RW.02 Purwomartani Kalasan Sleman, DI Yogyakarta, Indonesia</span>",8,8
RedDoorz near Candi Ratu Boko,"<span itemprop=""address"">Jalan Raya Prambanan-Piyungan, Bokoharjo, Sleman, Daerah Istimewa Yogyakarta</span>",5,5
D'Paragon Pringwulung,"<span itemprop=""address"">Jl. Wulung No.443, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",2,4
RedDoorz Plus @ Tegal Panggung,"<span itemprop=""address"">Jl. Tegal Panggung No.42, Tegal Panggung, Danurejan, Kota Yogyakarta </span>",12,12
RedDoorz @ Jalan Ringroad Selatan,"<span itemprop=""address"">Jl. Ring Road Selatan No.224, Panggungharjo, Sewon, Bantul, Yogyakarta, Indonesia</span>",8,8
RedDoorz Plus @ Hotel Star 88,"<span itemprop=""address"">Jl. Tatabumi 3A Godean Km. 4, Sleman, Yogyakarta, Indonesia</span>",20,80
OYO 550 Kebon Krapyak Cottage,"<span itemprop=""address"">Jl. Raya Krapyak No. 1, Bakungan, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",12,12
Cempaka Hotel,"<span itemprop=""address"">Jl. Taman Siswa No.75, DI Yogyakarta</span>",17,17
OYO 1626 Alena Residence Near RS Ludira Husada Tama,"<span itemprop=""address"">Jl. Kemetiran Kidul No.586, RW.001, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272, Indonesia</span>",8,32
Hotel di Jogja,,0,0
Hotel Sumaryo,"<span itemprop=""address"">Jl. Prawirotaman No. 22, Kota Gede, Yogyakarta, Indonesia</span>",8,16
RedDoorz near AMIKOM Yogyakarta 2,"<span itemprop=""address"">Jalan Sepakbola No 46, Gropoh, Depok, Sleman, D.I Yogyakarta</span>",14,14
RedDoorz near Jogja National Museum,"<span itemprop=""address"">Jl. Ngadimulyo TR 3, RT.42/RW.12, Kec. Tegalrejo, Kota Yogyakarta, D.I.Y, Wirobrajan, Yogyakarta, D.I. Yogyakarta, Indonesia</span>",16,48
Grha Ivana,"<span itemprop=""address"">Jl. Kaliwaru Raya No. 100 RT 3 RW 36, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",1,3
Jogja Backpacker Rooms,"<span itemprop=""address"">Desa Nglarang Malangrejo, Wedomartani, Ngemplak, Sleman, Yogyakarta, Indonesia</span>",2,2
RedDoorz Syariah @ Wisma Arya 2,"<span itemprop=""address"">Jl. Sukun No.37Jaranan, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",10,40
RedDoorz near Jogja City Mall 4,"<span itemprop=""address"">Jl. Wijaya Kusuma No.45, Kutu Dukuh, Sinduadi, Kec. Mlati, Kab. Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",6,6
RedDoorz Plus near UPN Jogjakarta 2,"<span itemprop=""address"">Jl. Pandawa, No. 402, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Yogyakarta, Indonesia</span>",7,7
RedDoorz near Ambarukmo Yogyakarta 2,"<span itemprop=""address"">Jl. Sorowajan Baru No.2, Banguntapan, DI Yogyakarta, Indonesia</span>",8,24
RedDoorz near Universitas Muhammadiyah Yogyakarta,"<span itemprop=""address"">Jl. Sunan Kudus, Gatak, Tamantirto, Kasihan, Bantul, DIY.</span>",16,16
Hotel Urban Al Ashri,"<span itemprop=""address"">Jl. D.I Panjaitan, No. 104, Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
RedDoorz Plus @ Jalan Damai 2,"<span itemprop=""address"">Jl. Sunan Muria No. 21A, Sinduharjo, Kaliurang, Yogyakarta, Indonesia</span>",5,5
RedDoorz @ Jalan Menteri Supeno,"<span itemprop=""address"">Jl. Mentri Supeno , Sorosutan 2, Umbulharjo, DI Yogyakarta, Indonesia</span>",8,8
Khresna Guest House Malioboro,"<span itemprop=""address"">Located in Istana Batik Ratna Hotel, Jl. Pasar Kembang No. 29, Sosromenduran, Gedong Tengen, Yogyakarta 55271, Indonesia</span>",4,4
RedDoorz near XT Square 3,"<span itemprop=""address"">Jl. Sidikan No.73, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",4,4
RedDoorz @ Rejowinangun Kotagede 2,"<span itemprop=""address"">Jl. Rejowinangun No.1, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",5,5
RedDoorz near Parangtritis Beach,"<span itemprop=""address"">Jl. Mancingan, Parangtritis, Kec. Kretek, Kabupaten Bantul, DI Yogyakarta, Indonesia</span>",5,5
Hotel Winotosastro Garden,"<span itemprop=""address"">Jl. Sartono MJ 3 No.825, Mantrijeron, Yogyakarta, Indonesia</span>",11,11
Indonesia Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 9, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Indonesia</span>",2,2
RedDoorz near UMY Yogyakarta 2,"<span itemprop=""address"">Jl. Patriot Bangsa Dusun Tlogo, RT. 07 Tamantirto, Kasihan, Bantul Yogyakarta, DI Yogyakarta, Indonesia</span>",6,24
RedDoorz near Kranggan Tugu Jogja,"<span itemprop=""address"">Jl. Poncowinatan No. 79-81, Cokrodiningratan, Jetis, Yogyakarta</span>",6,6
SPOT ON 2857 Hotel Pelangi,"<span itemprop=""address"">: Jl. KH Wahid Hasyim No.99, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",8,8
RedDoorz Plus @ Affandi Gejayan,"<span itemprop=""address"">Jl. Affandi Gang Menur 6 RT 01 RW 01 Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Gejayan, Yogyakarta, Indonesia</span>",6,6
RedDoorz @ Jalan Palagan,"<span itemprop=""address"">Jl. Tegal Melati No.44B RT.02 RW.35 Sariharjo, Ngaglik, Sleman, Yogyakarta, Indonesia</span>",8,8
RedDoorz Plus near Gembira Loka Zoo 2,"<span itemprop=""address"">Jl. Soga No.62, Tahunan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",3,3
RedDoorz near Mall Ambarukmo Yogyakarta,"<span itemprop=""address"">Jl. Jodipati No.18, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",4,4
OYO 194 Hotel Sapta Gria Near RS Bethesda,"<span itemprop=""address"">63, Jl. Jend. Sudirman No. 63, Terban, Gondokusuman, Yogyakarta</span>",8,8
Ministry Homestay,"<span itemprop=""address"">Jl. Prawirotaman No.15 A, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",3,9
Kangen Boutique Hotel,"<span itemprop=""address"">Jl. Magelang Km 5, 8 No. 27, Yogyakarta, Daerah Istimewa Yogyakarta 55284</span>",5,15
Ros In Hotel,"<span itemprop=""address"">Jl. Lingkar Selatan No.110, Yogyakarta</span>",2,2
Hotel di Jogja,,0,0
RedDoorz @ Jakal atas KM 10,"<span itemprop=""address"">Jl. Jayan Sukoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta</span>",8,8
Hotel Radyoharto,"<span itemprop=""address"">Jl. Kp. Jogonegaran, Sosromenduran, Gedongtengen, Malioboro, Yogyakarta, DI Yogyakarta, Indonesia</span>",8,32
RedDoorz near Universitas Islam Indonesia,"<span itemprop=""address"">Jl. Candi Winangun No. 17, Ngaglik, Sleman, DI Yogyakarta, Indonesia</span>",4,8
Rejeki Homestay Malioboro,"<span itemprop=""address"">Sosrowijayan St Jl. Sosrowijayan GT I No.70, Sosromenduran, Gedong Tengen, Yogyakarta City</span>",5,10
OYO 1046 Omah Pathok Near RS Ludira Husada Tama,"<span itemprop=""address"">Jl. Karel Sasuit Tubun No.48, Ngampilan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",8,8
Hotel Mataram 2 Malioboro,"<span itemprop=""address"">Jl. Kemetiran Lor No.13, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",6,18
OYO 2008 Sellinas Family Residence Syariah,"<span itemprop=""address"">Jalan Kaliurang Km 5</span>",8,8
Artomoro Syariah Guest House,"<span itemprop=""address"">Jl. Magelang KM. 10, Beran, Tridadi, Sleman, Beran Lor, Tridadi, Kec. Sleman, Kab. Sleman, DI Yogyakarta</span>",6,6
Nirvana Inn Wahid Hasyim,"<span itemprop=""address"">Jl. Wahid Hasyim No. 60A Waringin Sari, Seturan, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",4,8
RedDoorz Syariah near Sindu Kusuma Edupark,"<span itemprop=""address"">Jl. Jambon Rogoyudan, Sinduadi, Mlati, Sleman, Daerah Istimewa Yogyakarta</span>",8,8
RedDoorz near Malioboro Tugu Station Jogja 2,"<span itemprop=""address"">Jl. Tentara Rakyat Mataram No.16, Bumijo, Kec. Jetis, Kota Yogyakarta, DI Yogyakarta</span>",2,6
D'paragon Seturan 1,"<span itemprop=""address"">Jl. Kehutanan, Jl. Seturan Raya No.6, Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,6
Snooze Hostel,"<span itemprop=""address"">Jl. Mangunnegaran Kulon No.9, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5,10
OYO 1226 Al Abror Homestay,"<span itemprop=""address"">Jl. Cantel Baru No. 5A, Yogyakarta</span>",4,12
RedDoorz near Plaza Ambarukmo,"<span itemprop=""address"">Jl. Ori II, Caturtunggal, Kec. Depok, Kab. Sleman, Daerah Istimewa Yogyakarta</span>",2,4
Kangen Yogya Homestay Malioboro,"<span itemprop=""address"">Sosromenduran RT 29 / RW 07 Gedong Tengen Yogyakarta, DI Yogyakarta</span>",3,3
Griya Limasan Hotel,"<span itemprop=""address"">Jl. Kecubung, Wonosari, Kab. Gunung Kidul, Yogyakarta, Indonesia</span>",10,10
RedDoorz near Sleman City Hall 3,"<span itemprop=""address"">Sanggrahan, Sendangadi, Kecamatan Mlati, Sleman, DI Yogyakarta</span>",7,21
OYO 2268 Tim-tim Homestay,"<span itemprop=""address"">JL. Kaliurang Km.6, 7 Gg.Timor - Timor, No. 2 E73, Purwosari, Sinduadi, Kec. Mlati, Kabupaten Sleman</span>",12,24
Hotel Kukup Indah,"<span itemprop=""address"">Jl. Pantai Selatan Jawa, Dusun Ngepung, Kemadang, Tanjung Sari, Gunung Kidul, Yogyakarta, Indonesia</span>",24,24
New Citra Hotel,"<span itemprop=""address"">Jl. Jogja-Purworejo KM 40, Kel Temon Kulon, Kec Temon, Kab Kulon Progo, Daerah Istimewa Yogyakarta, Indonesia</span>",1,4
Upala Java Huise,"<span itemprop=""address"">Jl. Plataran No. 07, Plataran, Sembungan RT. 01, Sembungan, Bangunjiwo, Kec. Kasihan, Bantul, DI Yogyakarta</span>",8,8
RedDoorz near Sindu Kusuma Edupark 2,"<span itemprop=""address"">Jl. Ring Road Utara, Baturan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",12,48
Joglo Residence Hotel,"<span itemprop=""address"">Jl. Perumnas No. 16, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",1,3
RedDoorz near Jogja City Mall,"<span itemprop=""address"">Jl. Kosan, Kutu Tegal, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",14,42
OYO 586 Hotel Wijaya Near RSUD Prambanan,"<span itemprop=""address""> Jl. Raya Solo - Yogyakarta No.Km. 10,5, Jagalan, Tegaltirto, Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",23,23
RedDoorz near Condongcatur Bus Station,"<span itemprop=""address"">Jl. Sawit No.21, Pikgondeng, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",6,6
The Amartya Jogjakarta Hotel,"<span itemprop=""address"">Jl. Ringroad Barat No. 288, Banyuraden, Gamping, Gamping, Sleman, Provinsi Yogyakarta, Indonesia</span>",8,8
Omah Sawah Syariah,"<span itemprop=""address"">Jalan Bulus Tempel, Pakem, Kab. Sleman, DI Yogyakarta</span>",3,3
RedDoorz @ Raya Janti Yogyakarta,"<span itemprop=""address"">Jl. Janti No.13, Jaranan, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",3,3
Hotel di Jogja,,0,0
Amaris Hotel Malioboro Jogja,"<span itemprop=""address"">Jl. Pajeksan No.10, Malioboro, Yogyakarta, Indonesia</span>",3,3
RedDoorz near Universitas Gajah Mada,"<span itemprop=""address"">Pogung Baru blok B 01, Sinduadi, Mlati, D.I.Y</span>",6,12
KoolKost Syariah @ Jalan Cangkringan Kaliurang,"<span itemprop=""address"">Jl. Cangkringan Dusun Jangkang No 19 RT 02/RW 009, Ngemplak, Kab. Sleman, DI Yogyakarta</span>",7,7
Kostel Velisia Syariah,"<span itemprop=""address"">Kutu Patran, Sinduadi, Mlati, Kab. Sleman, DI Yogyakarta</span>",7,21
Hotel Tjiptorini Jaya,"<span itemprop=""address"">Jl. Laksda Adisucipto KM 6, Tempel, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",5,5
OYO 3267 Omah Suryo,"<span itemprop=""address"">Jl. Suryowijayan No.5B, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142</span>",4,4
Hotel Berlian Malioboro,"<span itemprop=""address"">Jl. Pasar Kembang No. 61, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Indonesia</span>",3,9
RedDoorz Plus Syariah @ Monginsidi Guest House,"<span itemprop=""address"">Jl. R.W. Monginsidi No.7, Cokrodiningratan, Jetis, Yogyakarta, Indonesia</span>",12,36
RedDoorz Syariah near Taman Pelangi Jogja 2,"<span itemprop=""address"">Jl. Karya Utama 118B, Sedan, Yogyakarta</span>",4,4
OYO 1118 Artomoro Family Guesthouse,"<span itemprop=""address"">Jl. Gading Sari No.99, Kalor, Banyuraden, Kec. Gamping, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",12,12
OYO 1338 Hotel Sartika,"<span itemprop=""address"">Jl. R. E. Martadinata No.21, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia, Yogyakarta</span>",20,20
Hotel Puri Pangeran Yogyakarta,"<span itemprop=""address"">Jl. Masjid No.7 Pakualaman (Near Malioboro), Pakualaman, Yogyakarta, Indonesia</span>",3,3
RedDoorz @ Swakarya Kaliurang,"<span itemprop=""address"">Jl. Surayudha Gg. Kenari No. 31A., Swakarya. Sleman (Jalan Kaliurang KM 4.5) Pogung, Yogyakarta, Indonesia</span>",15,15
Embe Pitoe Syariah Gejayan,"<span itemprop=""address"">l. Mrican Baru No.7Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",5,10
Hotel Monica,"<span itemprop=""address"">Jl. Sosrowijayan GT I/192 Yogyakarta </span>",20,40
RedDoorz near Pascasarjana UGM 2,"<span itemprop=""address"">Jl. Pogung Dalangan RT.08 RW.50 No.10C, Sinduadi, Mlati, Kab. Sleman, DI Yogyakarta, Indonesia</span>",6,18
Hotel Bladok & Restaurant Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 76, Yogyakarta, Gedongtengen, Yogyakarta, Indonesia</span>",3,9
OYO 1303 Golden Inn 2 Near RS Bethesda,"<span itemprop=""address"">Jl. Kranggan No.2, Cokrodiningratan, Jetis, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",8,8
RedDoorz near Jogja Expo Center 2,"<span itemprop=""address"">Jl. Wonocatur No.12, Wonocatur, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",4,4
RedDoorz near UMY Yogyakarta 3,"<span itemprop=""address"">Jl. Ringroad Utara, Area Sawah, Banyuraden, Gamping, Kab. Sleman, DI Yogyakarta, Indonesia</span>",9,9
University Hotel Yogyakarta,"<span itemprop=""address"">Jl. Adi Sucipto Km.10 / Anggrek No.137 D Sambilegi Maguwoharjo Depok, Sleman, Yogyakarta</span>",24,24
OYO 1159 Bukit Indah Hotel & Restaurant Near RSUD Prambanan,"<span itemprop=""address"">Jl. Yogyakarta - Wonosari Hargo Dumilah KM 15, Area Kebun, Srimulyo, Kec. Piyungan, Bantul, DI Yogyakarta, Indonesia</span>",16,16
OYO 426 Hotel Gading Resto Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman , Brontokusuman, Mergangsan</span>",8,8
Djuragan Kamar Karangnongko,"<span itemprop=""address"">Jl. P. Puger 3 No.15, Pugeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",3,12
Reddoorz Syariah near Wijilan Yogyakarta,"<span itemprop=""address"">Jl. Panembahan No.9, Panembahan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
OYO 2314 Hapsari Homestay Syariah,"<span itemprop=""address"">Kadilangu Kidul, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa</span>",1,1
Hotel Sala,"<span itemprop=""address"">Jl. Munggur, No. 42, Demangan, Gondokusuman, Yogyakarta, Indonesia</span>",10,10
Oke Baik Hostel,"<span itemprop=""address"">Jl. Prawirotaman 99 Batik Wahyu Tumurun, MG III/No 566. Mergangsan, Daerah Istimewa Yogyakarta, Indonesia</span>",3,6
OYO 2173 Bnv House Babarsari,"<span itemprop=""address""> Jl. Tambak Bayan No.11 No. 9A, Caturtunggal, Kec. Depok, Yogyakarta, Daerah Istimewa Yogyakarta</span>",8,8
Hotel Safara Yogyakarta,"<span itemprop=""address"">Jl. Veteran No. 161, Jogja, Yogyakarta, Indonesia</span>",16,16
Hotel di Jogja,,0,0
OYO 572 Omah Gedongkuning Syariah Homestay,"<span itemprop=""address"">KG I/27, Jl. Kusumanegara, Gg. Ganesha, Rejowinangun, Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",4,4
PORTA by The Ambarrukmo,"<span itemprop=""address"">Jl. Colombo N0.07, Karangmalang, Caturtunggal, Sleman, DI Yogyakarta</span>",18,18
JJ House Wahid Hasyim,"<span itemprop=""address"">Jl. Wahid Hasyim gg. Mawar No.5, Condong Catur</span>",4,4
Villa Mak Cik,"<span itemprop=""address"">Wonorejo, Hargobinangun, Pakem, Sleman, Yogyakarta, Indonesia</span>",1,3
RedDoorz near Wisata Pantai Parangtritis,"<span itemprop=""address"">Jl. Parangtritis Km 27 Parangtritis, Pantai, Parangtritis, Kec. Kretek, Bantul, Daerah Istimewa Yogyakarta</span>",3,3
Penginapan Sedyo Rahayu,"<span itemprop=""address"">Jl. Astomulyo No. 45, Kaliurang Barat, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten SlemanYogyakarta, Indonesia</span>",24,96
ArFe Room Apartemen Taman Melati Yogyakarta,"<span itemprop=""address"">Jl. Jemb. Baru UGM, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",1,1
OYO 408 Graha Vege Jawi Syariah,"<span itemprop=""address"">125, Jl. Turonggo, Jaranan, Banguntapan, Yogyakarta</span>",4,4
Wisma Almaidah Jogjakarta,"<span itemprop=""address"">Jalan Kaliurang KM 5 Pogung Baru Blok B No 3 Pogung Kidul, Sinduadi,Special Region of Yogyakarta, Indonesia</span>",8,16
OYO 514 Omah Pari Boutique Hotel,"<span itemprop=""address"">Jl. Nakulo Jl. Kapten Piere Tendean No.34, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia, Yogyakarta</span>",8,8
Watu Lumbung Culture Resort,"<span itemprop=""address"">Jl. Rute Gerilya Sudirman, Kampung Edukasi Watu Lumbung, Bantul, Yogykarta, Indonesia</span>",12,12
OYO 1829 Zaira House,"<span itemprop=""address"">Jl. Palagan, Sariharjo, Ngaglik, Karang Moko, Sariharjo, Kec. Ngaglik</span>",4,4
OYO 2669 Crown Residence,"<span itemprop=""address"">Jl. Magelang No.16 A, Bumijo, Kec. Tegalrejo</span>",16,16
RedDoorz @ Palagan 3,"<span itemprop=""address"">Tegalwaras No. 71, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",9,27
Malioboro Place,"<span itemprop=""address"">Jl. Sosrokusuman No. 15, Danurejan, Yogyakarta, Indonesia</span>",6,12
E Kamar,"<span itemprop=""address"">Jl. Nogosari Kidul No.60, Kadipaten, Kraton, Yogyakarta</span>",28,84
Djuragan Kamar Nogotirto,"<span itemprop=""address"">Jl. Kramatan, Nogosaren, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,2
OYO 195 Stay @h Guesthouse,"<span itemprop=""address"">Pogung Lor, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia</span>",12,12
favehotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. I Dewa Nyoman Oka No.30, Gondokusuman, Yogyakarta, Indonesia</span>",4,4
The Rich Jogja Hotel,"<span itemprop=""address"">Jl. Magelang KM 6 No.18, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",9,9
Grand Zuri Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Mangkubumi No.18, Malioboro, Yogyakarta</span>",17,68
MMUGM Hotel,"<span itemprop=""address"">Jl. Colombo No.1, Yogyakarta</span>",2,2
Votel Viure Hotel,"<span itemprop=""address"">Jl. Perumnas 109 A, Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",3,12
The Westlake Hotel & Resort Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Barat, Bedog, Trihanggo, Sleman, Yogyakarta, Indonesia </span>",14,14
Brothers Inn Babarsari Yogya,"<span itemprop=""address"">Jl. Babarsari No. 47, Kledokan, Yogyakarta, Indonesia</span>",3,12
Sagan Heritage Hotel Yogyakarta,"<span itemprop=""address"">Jl. Kartini No. 4, Terban, Gondokusuman, Yogyakarta, Indonesia</span>",26,52
Residence Duksina 2 by SHM,"<span itemprop=""address"">Jl. Pandega Duksina No. 2, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,2
Indoluxe Rent Apartment Jogja,"<span itemprop=""address"">Jl. Amarta, No. 1 (V Apartment), Seturan Raya, Yogyakarta, Indonesia</span>",1,2
Harper Malioboro Yogyakarta by ASTON,"<span itemprop=""address"">Jl. Mangkubumi No.52, Yogyakarta, Indonesia</span>",7,7
Hotel Neo Malioboro by ASTON,"<span itemprop=""address"">Jl. Pasar Kembang No.21, Yogyakarta, Indonesia</span>",6,6
Hotel di Jogja,,0,0
THE 1O1 Yogyakarta Tugu,"<span itemprop=""address"">Jl.Margoutomo No.103 (Mangkubumi), Tugu, Yogyakarta, Jawa Tengah</span>",8,8
Jowo Kluthuk Taman Melati,"<span itemprop=""address"">Jl. Jemb. Baru UGM Jl. Pogung Kidul, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284</span>",4,4
POP! Hotel Timoho Yogyakarta,"<span itemprop=""address"">Jl. IPDA Tut Harsono No. 11 (BALAIKOTA AREA) Timoho, Yogyakarta, Indonesia</span>",3,3
Hotel Aryuka,"<span itemprop=""address"">Jl. Kaliurang Km 5.8, Ring Road, Yogyakarta</span>",2,6
ibis Yogyakarta Malioboro,"<span itemprop=""address"">Jalan Malioboro No 52-58</span>",4,4
Dafam Fortuna Seturan Yogyakarta,"<span itemprop=""address"">Jl. Seturan Raya, Sleman, Yogyakarta</span>",5,5
The Cabin Tugu Hostel,"<span itemprop=""address"">Jl. Margo Utomo No. 9, Jetis, Daerah Istimewa Yogykarta, Indonesia</span>",6,18
Grand Orchid Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adi Sucipto Km 8, Adi Sucipto, Yogyakarta 55281, Indonesia</span>",5,20
GRAND ASTON Hotel & Convention Center Yogyakarta,"<span itemprop=""address"">Jl. Urip Sumoharjo No.37, Gondokusuman, Yogyakarta, Indonesia</span>",6,6
Ayaartta Hotel Malioboro,"<span itemprop=""address"">Jalan KH Ahmad Dahlan No.123, Ngampilan, Yogyakarta, Yogyakarta Province, Indonesia</span>",7,28
