nama_hotel,alamat_hotel,jumlah_kamar
Sans Hotel Ekkon Yogyakarta,"<span itemprop=""address"">Jl. Hos Cokroaminoto, Cokro Square Kav 0, Wirobrajan, Yogyakarta, Indonesia</span>",10
Pondok Wangi Syariah,"<span itemprop=""address"">Jl. Laksda Adisucipto no. km 8, Kalongan, Maguwoharjo, Depok, Sleman, DI Yogyakarta</span>",7
Hotel Puspo Nugroho Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Sosrokusuman DN I No. 187, Danurejan, Yogyakarta, Indonesia</span>",13
@K Hotel Kaliurang,"<span itemprop=""address"">Jl. Tlogo Putri, Kaliurang, Hargobinangun, Pakem, Yogyakarta, Indonesia</span>",5
Grand Rohan Jogja,"<span itemprop=""address"">Jl. Janti-Gedong Kuning No 336, Banguntapan, Bantul, Yogyakarta, Indonesia</span>",13
Arah Living (FKA Lokal Hotel),"<span itemprop=""address"">Jl. Jembatan Merah No.104C, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",5
Griya Persada Convention Hotel & Resort Kaliurang,"<span itemprop=""address"">Jl. Boyong No 99 Kaliurang Barat, Pakem, Sleman, Yogyakarta</span>",12
SigNature Jogja Hotel,"<span itemprop=""address"">Jl. Monjali, Sub Jl. Sidodadi No. 88 Rt. 01 Rw. 43 Gemawang, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",3
Greenhost Boutique Hotel Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman II No.629 Brontokusuman, Prawirotaman, Yogyakarta, Indonesia 55153 </span>",4
Votel Viure Hotel,"<span itemprop=""address"">Jl. Perumnas 109 A, Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4
Whiz Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Dagen No.8, Malioboro, Yogyakarta</span>",13
All Nite & Day Hotel Gejayan Yogyakarta,"<span itemprop=""address"">Jl. Affandi - Gejayan No.17 C, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",3
Grand Tjokro Yogyakarta Hotel,"<span itemprop=""address"">Jl. Gejayan No.37, Yogyakarta</span>",6
D'Paragon Seturan 3,"<span itemprop=""address"">Jl. Raya Seturan, RT.04/RW.02, Ngropoh, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",3
D'Paragon Pringwulung,"<span itemprop=""address"">Jl. Wulung No.443, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",3
Hotel Olympic Jogja,"<span itemprop=""address"">Jl. Sisingamangaraja No. 21B karangkajen brontokusuman, Prawitoman, Yogyakarta, Indonesia</span>",7
KJ Hotel Yogyakarta,"<span itemprop=""address"">Jl. Parangtritis No.120, Mantrijeron, Yogyakarta, Indonesia</span>",6
Allstay Ecotel Yogyakarta,"<span itemprop=""address"">Jl. Wahid Hasyim No. 41, Yogyakarta</span>",13
Grand Kangen Urip Sumoharjo (FKA Horison Urip Sumoharjo),"<span itemprop=""address"">Jl. Urip Sumoharjo No.137, Klitren, Gondokusuman, Yogyakarta, Indonesia</span>",10
D'Paragon Kemuning,"<span itemprop=""address"">Jl. Kemuning III, Perumnas Condong Catur, Condongcatur, Depok, Sleman, DI Yogyakarta, Indonesia</span>",1
Malioboro Garden Hotel,"<span itemprop=""address"">Jl. Sosrokusuman DN 1 / 163, Danureajan, Malioboro, Yogyakarta, Indonesia</span>",9
Hotel di Jogja,,1
RedDoorz near Hartono Mall 3,"<span itemprop=""address"">Jl. Wahid Hasyim No.44, Condong Catur, Sleman, Yogyakarta, Indonesia</span>",11
Hotel Cakra Kembang,"<span itemprop=""address"">Jl. Kaliurang No.44, Yogyakarta</span>",5
Grand Malioboro Yogyakarta ( FKA Hotel Jentra Malioboro ),"<span itemprop=""address"">Jl.Dagen 85, Malioboro, Yogyakarta, Indonesia</span>",5
RedDoorz Plus @ Jalan Parangtritis 2,"<span itemprop=""address"">Jalan Parangtritis KM 4 No 303 Bangunharjo, Sewon, Bantul, Yogyakarta, D.I.  Yogyakarta, Indonesia</span>",11
Malioboro Prime Hotel Yogyakarta,"<span itemprop=""address"">Jl. Pasar Kembang No.9, Malioboro, Sosromenduran, Yogyakarta, Indonesia</span>",5
RedDoorz near Jogja Kembali Monument 3,"<span itemprop=""address"">Jl. Ring Road Utara No. 9, Yogyakarta</span>",6
Cordela Kartika Dewi Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Bhayangkara No. 35, Ngampilan, Yogyakarta, Indonesia</span>",5
D'Paragon Karangmalang,"<span itemprop=""address"">Blk. B, Jl. Karangmalang No. 17, Karang Gayam, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
D'Kayon Hotel Demangan Yogyakarta,"<span itemprop=""address"">Jl. Cendrawasih, No. 19, Demangan, Depok, Sleman, Yogyakarta, Indonesia</span>",4
The Cabin Tugu Hostel,"<span itemprop=""address"">Jl. Margo Utomo No. 9, Jetis, Daerah Istimewa Yogykarta, Indonesia</span>",7
Hotel BIFA,"<span itemprop=""address"">Jalan Perintis Kemerdekaan No 78, Yogyakarta</span>",18
Tjokro Style Yogyakarta,"<span itemprop=""address"">Jl. Mentri Supeno No.48, Sorosutan, Umbulharjo, DI Yogyakarta, Indonesia</span>",21
RedDoorz @ Omah Kayu Homestay,"<span itemprop=""address"">Jl. Ringroad Selatan No.92, Saman, Bangunharjo, Kec. Sewon, Bantul, Daerah Istimewa Yogyakarta</span>",8
Prima In Hotel Malioboro,"<span itemprop=""address"">Jl. Gandekan Lor No 47, Malioboro, Yogyakarta, Indonesia</span>",7
Atrium Premiere Hotel Yogyakarta Ambarukmo,"<span itemprop=""address"">Jalan Laksda Adisucipto No. 157 A, Depok, Yogyakarta, Yogyakarta Province, Indonesia</span>",5
POP! Hotel Sangaji Yogyakarta,"<span itemprop=""address"">Jl. A.M.Sangaji Kav.16-18, Jetis, Yogyakarta</span>",4
RedDoorz @ Mantrijeron 2,"<span itemprop=""address"">Jl. DI. Panjaitan, Mantrijeron, Yogyakarta, Indonesia</span>",24
Metro Malioboro Living,"<span itemprop=""address"">Jl. Ronodigdayan No. 16, Bausasran, Danurejan, Yogyakarta, Indonesia</span>",7
RedDoorz near AMIKOM Yogyakarta,"<span itemprop=""address"">Jl. Candi Gebang No.27, Wedomartani, Sleman, Yogyakarta, Indonesia</span>",15
D'Paragon Flamboyan,"<span itemprop=""address"">Jl. Flamboyan No. 23, Santren, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
Jowo Kluthuk Heritage,"<span itemprop=""address"">Gg. Anggrek 2 Jl. Bedrek No.20, Meguwo, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4
D'Paragon Pogung F,"<span itemprop=""address"">Jl. Pogung Raya No. 38, Pogung Lor, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",3
RedDoorz near Terminal Condong Catur 2,"<span itemprop=""address"">Jl. Rajawali No.35, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",8
