nama_hotel,alamat_hotel,jumlah_kamar
RedDoorz near Parangtritis Beach,"<span itemprop=""address"">Jl. Mancingan, Parangtritis, Kec. Kretek, Kabupaten Bantul, DI Yogyakarta, Indonesia</span>",6
RedDoorz near Kranggan Tugu Jogja,"<span itemprop=""address"">Jl. Poncowinatan No. 79-81, Cokrodiningratan, Jetis, Yogyakarta</span>",7
RedDoorz near Condongcatur Bus Station,"<span itemprop=""address"">Jl. Sawit No.21, Pikgondeng, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",7
RedDoorz near Jogja City Mall,"<span itemprop=""address"">Jl. Kosan, Kutu Tegal, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",15
RedDoorz Plus @ Rumah Kandjani,"<span itemprop=""address"">Jalan Pandean 1, No. 46B, Condong Catur, Depok, Yogyakarta, Depok, Yogyakarta, D.I. Yogyakarta, Indonesia, 55283</span>",5
RedDoorz @ Jalan Menteri Supeno,"<span itemprop=""address"">Jl. Mentri Supeno , Sorosutan 2, Umbulharjo, DI Yogyakarta, Indonesia</span>",9
RedDoorz @ Swakarya Kaliurang,"<span itemprop=""address"">Jl. Surayudha Gg. Kenari No. 31A., Swakarya. Sleman (Jalan Kaliurang KM 4.5) Pogung, Yogyakarta, Indonesia</span>",16
Omah Inap D24 Syariah Nogotirto,"<span itemprop=""address"">Jl. Irian D24, Nusupan, Trihanggo, Gamping, Kab. Sleman, DI Yogyakarta</span>",6
RedDoorz near Jogja National Museum,"<span itemprop=""address"">Jl. Ngadimulyo TR 3, RT.42/RW.12, Kec. Tegalrejo, Kota Yogyakarta, D.I.Y, Wirobrajan, Yogyakarta, D.I. Yogyakarta, Indonesia</span>",17
Reddoorz Syariah near Wijilan Yogyakarta,"<span itemprop=""address"">Jl. Panembahan No.9, Panembahan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",9
Kostel Velisia Syariah,"<span itemprop=""address"">Kutu Patran, Sinduadi, Mlati, Kab. Sleman, DI Yogyakarta</span>",8
RedDoorz near Wisata Pantai Parangtritis,"<span itemprop=""address"">Jl. Parangtritis Km 27 Parangtritis, Pantai, Parangtritis, Kec. Kretek, Bantul, Daerah Istimewa Yogyakarta</span>",4
RedDoorz @ Turangga Sari,"<span itemprop=""address"">Komplek Turangga Sari Blok III No.20, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",7
RedDoorz near Universitas Gajah Mada,"<span itemprop=""address"">Pogung Baru blok B 01, Sinduadi, Mlati, D.I.Y</span>",7
RedDoorz Plus near Taman Sari 2,"<span itemprop=""address"">Jl. Ngadinegaran No. 144, Mantrijeron, Yogyakarta</span>",4
Wisma Almaidah Jogjakarta,"<span itemprop=""address"">Jalan Kaliurang KM 5 Pogung Baru Blok B No 3 Pogung Kidul, Sinduadi,Special Region of Yogyakarta, Indonesia</span>",7
RedDoorz Plus @ Hotel Asih UNY,"<span itemprop=""address"">Jalan Colombo No.4, Samirono, Caturtunggal, Kab. Sleman, DI Yogyakarta</span>",9
RedDoorz Syariah @ Raya Tajem Maguwo,"<span itemprop=""address"">Jl. Raya Tajem No. 39, Maguwoharjo, Depok, Sleman, D.I Yogyakarta</span>",11
RedDoorz Syariah near Seturan Area,"<span itemprop=""address"">Jalan Utama No. 5a, Puyeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",4
RedDoorz Syariah near UIN Yogyakarta,"<span itemprop=""address"">Jl. Nogogini No.78, Gowok, Ambarukmo, Caturtunggal, Depok, DI Yogyakarta, Indonesia</span>",10
RedDoorz near UMY Yogyakarta 3,"<span itemprop=""address"">Jl. Ringroad Utara, Area Sawah, Banyuraden, Gamping, Kab. Sleman, DI Yogyakarta, Indonesia</span>",10
Hotel di Jogja,,1
Pose In Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mayjend Sutoyo No.62, Mantrijeron, Yogyakarta, Indonesia</span>",5
KoolKost Male Syariah near Pascasarjana UGM,"<span itemprop=""address"">Pandega Marta No 2 B, Jl. Kaliurang km 6, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",2
RedDoorz near Rumah Sakit Condong Catur,"<span itemprop=""address"">Jl. Gempol Baru No.7 Condongcatur Yogyakarta</span>",15
RedDoorz near Pascasarjana UGM 2,"<span itemprop=""address"">Jl. Pogung Dalangan RT.08 RW.50 No.10C, Sinduadi, Mlati, Kab. Sleman, DI Yogyakarta, Indonesia</span>",7
Uniq Hotel,"<span itemprop=""address"">Jl. Magelang No.61, Kricak, Tegalrejo, Yogyakarta, Indonesia</span>",12
Karana House Syariah Yogyakarta,"<span itemprop=""address"">RT06 RW27, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia</span>",13
RedDoorz near Rumah Sakit Wirosaban,"<span itemprop=""address"">Jl. Meranti Baru (Randubelang) No.111, Bangunharjo. Sewon, Bantul, DI Yogyakarta, Indonesia</span>",17
RedDoorz Plus near RS Grhasia Kaliurang,"<span itemprop=""address"">Jl. Pakem - Turi No.km, RW.4, Labasan, Pakembinangun, Kec. Pakem, Kab. Sleman, DI Yogyakarat</span>",18
Paddington Bear Homestay,"<span itemprop=""address"">Jalan Gedong kuning No 2 (Samping PLN), Kotagede, Yogyakarta, DI Yogyakarta</span>",3
RedDoorz near Ambarrukmo Plaza Mall,"<span itemprop=""address"">Jl. Perumnas No.30a, Tempel, Caturtunggal, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",6
RedDoorz near UMY Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Selatan No.121, Gamping Kidul, Ambarketawang, Gamping, Sleman, Yogyakarta, Indonesia</span>",10
Sekar Ayu Hotel Malioboro,"<span itemprop=""address"">Jl. Abu bakar Ali 8 Kotabaru, Kotabaru, Gondokusuman, Yogyakarta, Indonesia</span>",3
Omahe Haji Qoema Syariah,"<span itemprop=""address"">Jalan Ring Road Utara No.15, Condongcatur, Depok, Sleman, D.I.Yogyakarta</span>",7
RedDoorz Plus @ Taman Siswa 2,"<span itemprop=""address"">Jl. Taman Siswa No. 91, Yogyakarta, Indonesia</span>",4
KoolKost near Sindu Kusuma Edupark,"<span itemprop=""address""> Jalan Kragilan, Kragilan, Sinduadi, Kab. Sleman, DI Yogyakarta, Indonesia</span>",4
Queen of The South Hotel,"<span itemprop=""address"">Parangtritis, Yogyakarta, Tromd Pas 001, Kretek, Bantul, Yogyakarta</span>",6
University Hotel Yogyakarta,"<span itemprop=""address"">Jl. Adi Sucipto Km.10 / Anggrek No.137 D Sambilegi Maguwoharjo Depok, Sleman, Yogyakarta</span>",25
Griya Jogja Hotel,"<span itemprop=""address"">Jl. Pakuningratan No.3, Yogyakarta</span>",13
Hotel Indah Palace Yogyakarta,"<span itemprop=""address"">Jl. Sisingamangaraja No. 74, Yogyakarta, Jawa Tengah, Indonesia</span>",3
Kombokarno Hotel Malioboro,"<span itemprop=""address"">Jl. Dagen No. 39, Sosromenduran, Gedongtengen, Yogyakarta, DI Yogyakarta, Indonesia</span>",19
Hotel New Saphir Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto No.38, Gondokusuman, Yogyakarta, Indonesia</span>",11
Cakra Kusuma Hotel,"<span itemprop=""address"">Jl. Kaliurang KM 5.2 No.25, Yogyakarta, Indonesia</span>",15
RedDoorz near Tugu Yogyakarta,"<span itemprop=""address"">Jl. Pakuningratan No.1, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",9
Rumah Mertua Heritage,"<span itemprop=""address"">Jl. Palagan Tentara Pelajar, Gang Padma No. 5, Ngaglik, Sleman, Yogyakarta, Indonesia</span>",3
Cantya Hotel,"<span itemprop=""address"">Jl. Sisingamangaraja No.21A, Magangsan, Yogyakarta, Indonesia</span>",5
Hotel Bukit Uhud Yogyakarta,"<span itemprop=""address"">Jl. Sidokabul No. 15, Sorosutan, Umbulharjo, Yogyakarta, Indonesia</span>",7
D'Paragon Kusumanegara,"<span itemprop=""address"">Jl. Sawit Semaki, Gg. Sawit Sari I No. 161, Semaki, Umbulharjo, Yogyakarta, Indonesia</span>",3
RedDoorz Plus @ Terban Residence,"<span itemprop=""address""> Jl. C. Simanjuntak No.7, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta </span>",7
D'Paragon UPN,"<span itemprop=""address"">Jl. Pintu Selatan UPN, Ngropoh, Condongcatur, Depok, Sleman, DI Yogyakarta, Indonesia</span>",3
RedDoorz Syariah Plus @ Jakal Bawah 3,"<span itemprop=""address"">Jalan Sulawesi II No 7, Purwosari, SInduadi, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",13
Hotel di Jogja,,1
D'paragon Seturan 1,"<span itemprop=""address"">Jl. Kehutanan, Jl. Seturan Raya No.6, Kledokan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
The Cabin Purwokinanti Hotel,"<span itemprop=""address"">Jl. Juminahan 48, RT 28 RW 06, Kel. Purwokinanti, Kec. Pakualaman, Yogyakarta, Indonesia</span>",3
The Cabin Hotel Gandekan,"<span itemprop=""address"">Jl. Gandekan Lor No.2, Gedongtengen, Yogyakarta, DI Yogyakarta, Indonesia</span>",13
Wayang BnB,"<span itemprop=""address"">Jl. Blunyah Rejo TR II No.668, Karangwaru, Tegalrejo, Yogyakarta, DI Yogyakarta, Indonesia</span>",6
RedDoorz Plus near Alun Alun Selatan,"<span itemprop=""address"">Jl. Parangtritis No.42, Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",7
Djuragan Kamar Karangnongko,"<span itemprop=""address"">Jl. P. Puger 3 No.15, Pugeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4
RedDoorz Plus @ Demangan Gejayan,"<span itemprop=""address"">Jl. Cenderawasih No.7, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",13
RedDoorz near Sindu Kusuma Edupark 3,"<span itemprop=""address"">Jalan Semboja, Trihanggo, Kecamatan Gamping, Sleman, DI Yogyakarta</span>",7
Bobobox Pods Malioboro,"<span itemprop=""address"">Jl. Malioboro No.39, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",3
RedDoorz Syariah near Titik Nol Yogyakarta,"<span itemprop=""address"">Serangan NG II / 202 B, RT. 09 / 02, Notoprajan, Ngampilan, DI Yogyakarta</span>",11
Woodpecker Hotel,"<span itemprop=""address"">Jl. Kenari No.2 Mrican, Demangan Baru, Yogyakarta, Indonesia</span>",3
RedDoorz near Gejayan 3,"<span itemprop=""address"">Jl. Wulung III No.21, Papringan, Demangan Baru, Ds. Caturtunggal, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",8
RedDoorz Plus near Jogja Kembali Monument,"<span itemprop=""address"">Jl. Raya Monjali No.42, Sinduadi, Mlati, Sleman, Palagan, Yogyakarta, Indonesia</span>",5
RedDoorz near Graha Saba UGM,"<span itemprop=""address"">Manggung, Caturtunggal, Depok Sub-District, Sleman Regency, Special Region of Yogyakarta </span>",10
Nirvana Inn Jembatan Merah,"<span itemprop=""address"">Jl. Jembatan Merah No. 104D, Prayan Kulon, Depok, Sleman, Yogyakarta, Indonesia</span>",6
Horison Ultima Riss Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Gowongan Kidul No.33-49, Tugu Jogja, Yogyakarta, Indonesia</span>",7
favehotel Kusumanegara,"<span itemprop=""address"">Jl. Kusumanegara No.91, Umbulharjo, Yogyakarta, Indonesia</span>",3
RedDoorz near Jogja City Mall 3,"<span itemprop=""address"">Jl. Kragilan, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",3
RedDoorz Plus near Taman Sari,"<span itemprop=""address"">Jl. Empu Tantular No. 1000B, Gedong Kiwo, Mantrijeron, Yogyakarta, Indonesia</span>",3
KoolKost Syariah near Universitas Ahmad Dahlan Kampus 1,"<span itemprop=""address"">Jalan Mawar IV, RW.No80-81, Baciro, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",5
Yellow Star Ambarukmo Hotel,"<span itemprop=""address"">Jl. Laksda Adisucipto No. 23, Ambarukmo, Sleman, Yogyakarta, Indonesia</span>",3
Cordia Hotel Yogyakarta,"<span itemprop=""address"">Arrival Terminal - Yogyakarta International Airport (YIA), Jl. Wates - Purworejo KM 42, Logede, Glagah, Temon, Kulon Progo, Yogyakarta, Indonesia</span>",7
Hotel Desa Puri Syariah,"<span itemprop=""address"">Jl. Wonosari KM 6,7 No.272, Wirono, Baturetno, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta, Indonesia</span>",21
House Acasia Syariah,"<span itemprop=""address"">Jalan West Lake RT03/RW24 Desa Wisata Bedog Ringroad Barat, Baturan, Kec. Gamping, Kab. Sleman</span>",5
RedDoorz Plus near Stadion Mandala Krida,"<span itemprop=""address"">Jl. Kenari No.3B, Semaki, Umbulharjo, Yogyakarta, Indonesia</span>",9
Hotel Horaios Malioboro,"<span itemprop=""address"">Jl. Gowongan Kidul No. 57, Gedongtengen, Yogyakarta, Indonesia</span>",3
RedDoorz Plus near Adisucipto Airport 2,"<span itemprop=""address"">Jl. Stasiun Kembang Baru No.3, Maguwoharjo, Yogyakarta, Indonesia</span>",8
Ngampilan Residence by TURU,"<span itemprop=""address"">Jl. Letjen Suprapto No. 119, Ngampilan, Pringgokusuman, Gedong Tengen, Yogyakarta, Indonesia</span>",4
Arkana Seturan,"<span itemprop=""address"">Jl. Seturan Raya No.399, Ngropoh, Condongcatur, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",4
RedDoorz @ Seturan Raya,"<span itemprop=""address"">Jl. Seturan Raya No.5A, Caturtunggal, Depok, Yogyakarta, Indonesia</span>",8
Hotel di Jogja,,1
RedDoorz Plus Syariah near Lempuyangan Station 3,"<span itemprop=""address"">Jl. Tukangan No.29, Tegal Panggung, Danurejan, Lempuyangan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5
RedDoorz near Ambarukmo Yogyakarta,"<span itemprop=""address"">Jl. Sindoro No. 297 A, Banguntapan, Sorowajan Baru, Yogyakarta</span>",7
Apartemen Malioboro City Regency,"<span itemprop=""address""> Jl. Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Janti, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2
Grand Inna Malioboro,"<span itemprop=""address"">Jl. Malioboro No.60, Suryatmajan, Danurejan, Yogyakarta</span>",25
RedDoorz near Hartono Mall,"<span itemprop=""address"">Jl. Merpati, Condongcatur, Kec. Depok, Kabupaten Sleman, Yogyakarta, Indonesia</span>",12
RedDoorz near UGM 3,"<span itemprop=""address"">Jl. Kaliurang KM 4,5 Gang Kinanthi No.8, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",11
House Of Joy Sopalan,"<span itemprop=""address"">Jl. Satria III No.9, Sanggrahan, Maguwoharjo, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",11
Bamboo Lengkung Cottage,"<span itemprop=""address"">Watu Kelir / Komplek Penginapan Pantai Indrayanti, Tepus, Tepus, Gunung Kidul, Provinsi Yogyakarta, Indonesia</span>",7
Nusalink Near UGM Sleman,"<span itemprop=""address"">Jl. Pastika Palagan Duksina No.2 A, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",4
RedDoorz near Candi Ratu Boko,"<span itemprop=""address"">Jalan Raya Prambanan-Piyungan, Bokoharjo, Sleman, Daerah Istimewa Yogyakarta</span>",9
Homestay HD Inn,"<span itemprop=""address"">Jl. M. Suryotomo No. 575 Ngupasan, Gondomanan, Yogyakarta, Indonesia</span>",9
OYO 1626 Alena Residence Near RS Ludira Husada Tama,"<span itemprop=""address"">Jl. Kemetiran Kidul No.586, RW.001, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272, Indonesia</span>",9
Jogja Backpacker Rooms,"<span itemprop=""address"">Desa Nglarang Malangrejo, Wedomartani, Ngemplak, Sleman, Yogyakarta, Indonesia</span>",2
King Hotel,"<span itemprop=""address"">Jl. Raya Wates No.1, Yogyakarta, Indonesia</span>",7
RedDoorz near XT Square 3,"<span itemprop=""address"">Jl. Sidikan No.73, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",5
Grha Ivana,"<span itemprop=""address"">Jl. Kaliwaru Raya No. 100 RT 3 RW 36, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",2
RedDoorz near Universitas Muhammadiyah Yogyakarta,"<span itemprop=""address"">Jl. Sunan Kudus, Gatak, Tamantirto, Kasihan, Bantul, DIY.</span>",17
Hotel Urban Al Ashri,"<span itemprop=""address"">Jl. D.I Panjaitan, No. 104, Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",9
RedDoorz Plus @ Jalan Damai 2,"<span itemprop=""address"">Jl. Sunan Muria No. 21A, Sinduharjo, Kaliurang, Yogyakarta, Indonesia</span>",6
RedDoorz near Jogja City Mall 4,"<span itemprop=""address"">Jl. Wijaya Kusuma No.45, Kutu Dukuh, Sinduadi, Kec. Mlati, Kab. Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",9
The Rich Jogja Hotel,"<span itemprop=""address"">Jl. Magelang KM 6 No.18, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",8
Hotel Winotosastro Garden,"<span itemprop=""address"">Jl. Sartono MJ 3 No.825, Mantrijeron, Yogyakarta, Indonesia</span>",12
Indonesia Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 9, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Indonesia</span>",3
RedDoorz near UMY Yogyakarta 2,"<span itemprop=""address"">Jl. Patriot Bangsa Dusun Tlogo, RT. 07 Tamantirto, Kasihan, Bantul Yogyakarta, DI Yogyakarta, Indonesia</span>",7
Ministry Homestay,"<span itemprop=""address"">Jl. Prawirotaman No.15 A, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",4
RedDoorz Plus near Gembira Loka Zoo 2,"<span itemprop=""address"">Jl. Soga No.62, Tahunan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",4
SPOT ON 2857 Hotel Pelangi,"<span itemprop=""address"">: Jl. KH Wahid Hasyim No.99, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",9
RedDoorz @ Jakal atas KM 10,"<span itemprop=""address"">Jl. Jayan Sukoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta</span>",6
OYO 550 Kebon Krapyak Cottage,"<span itemprop=""address"">Jl. Raya Krapyak No. 1, Bakungan, Wedomartani, Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",13
RedDoorz near Mall Ambarukmo Yogyakarta,"<span itemprop=""address"">Jl. Jodipati No.18, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",5
Hotel di Jogja,,1
RedDoorz near Universitas Islam Indonesia,"<span itemprop=""address"">Jl. Candi Winangun No. 17, Ngaglik, Sleman, DI Yogyakarta, Indonesia</span>",4
OYO 194 Hotel Sapta Gria Near RS Bethesda,"<span itemprop=""address"">63, Jl. Jend. Sudirman No. 63, Terban, Gondokusuman, Yogyakarta</span>",9
RedDoorz Syariah near Taman Pelangi Jogja 2,"<span itemprop=""address"">Jl. Karya Utama 118B, Sedan, Yogyakarta</span>",5
Hotel Radyoharto,"<span itemprop=""address"">Jl. Kp. Jogonegaran, Sosromenduran, Gedongtengen, Malioboro, Yogyakarta, DI Yogyakarta, Indonesia</span>",9
Rejeki Homestay Malioboro,"<span itemprop=""address"">Sosrowijayan St Jl. Sosrowijayan GT I No.70, Sosromenduran, Gedong Tengen, Yogyakarta City</span>",5
OYO 1046 Omah Pathok Near RS Ludira Husada Tama,"<span itemprop=""address"">Jl. Karel Sasuit Tubun No.48, Ngampilan, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",9
Hotel Mataram 2 Malioboro,"<span itemprop=""address"">Jl. Kemetiran Lor No.13, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",7
OYO 2008 Sellinas Family Residence Syariah,"<span itemprop=""address"">Jalan Kaliurang Km 5</span>",9
Artomoro Syariah Guest House,"<span itemprop=""address"">Jl. Magelang KM. 10, Beran, Tridadi, Sleman, Beran Lor, Tridadi, Kec. Sleman, Kab. Sleman, DI Yogyakarta</span>",7
Nirvana Inn Wahid Hasyim,"<span itemprop=""address"">Jl. Wahid Hasyim No. 60A Waringin Sari, Seturan, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",4
Kangen Yogya Homestay Malioboro,"<span itemprop=""address"">Sosromenduran RT 29 / RW 07 Gedong Tengen Yogyakarta, DI Yogyakarta</span>",4
Ros In Hotel,"<span itemprop=""address"">Jl. Lingkar Selatan No.110, Yogyakarta</span>",3
The Amartya Jogjakarta Hotel,"<span itemprop=""address"">Jl. Ringroad Barat No. 288, Banyuraden, Gamping, Gamping, Sleman, Provinsi Yogyakarta, Indonesia</span>",9
RedDoorz near Malioboro Tugu Station Jogja 2,"<span itemprop=""address"">Jl. Tentara Rakyat Mataram No.16, Bumijo, Kec. Jetis, Kota Yogyakarta, DI Yogyakarta</span>",5
RedDoorz near Plaza Ambarukmo,"<span itemprop=""address"">Jl. Ori II, Caturtunggal, Kec. Depok, Kab. Sleman, Daerah Istimewa Yogyakarta</span>",2
Snooze Hostel,"<span itemprop=""address"">Jl. Mangunnegaran Kulon No.9, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",6
OYO 1226 Al Abror Homestay,"<span itemprop=""address"">Jl. Cantel Baru No. 5A, Yogyakarta</span>",5
RedDoorz near Sleman City Hall 3,"<span itemprop=""address"">Sanggrahan, Sendangadi, Kecamatan Mlati, Sleman, DI Yogyakarta</span>",8
Upala Java Huise,"<span itemprop=""address"">Jl. Plataran No. 07, Plataran, Sembungan RT. 01, Sembungan, Bangunjiwo, Kec. Kasihan, Bantul, DI Yogyakarta</span>",7
Hotel Kukup Indah,"<span itemprop=""address"">Jl. Pantai Selatan Jawa, Dusun Ngepung, Kemadang, Tanjung Sari, Gunung Kidul, Yogyakarta, Indonesia</span>",25
New Citra Hotel,"<span itemprop=""address"">Jl. Jogja-Purworejo KM 40, Kel Temon Kulon, Kec Temon, Kab Kulon Progo, Daerah Istimewa Yogyakarta, Indonesia</span>",2
RedDoorz near Sindu Kusuma Edupark 2,"<span itemprop=""address"">Jl. Ring Road Utara, Baturan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",13
OYO 586 Hotel Wijaya Near RSUD Prambanan,"<span itemprop=""address""> Jl. Raya Solo - Yogyakarta No.Km. 10,5, Jagalan, Tegaltirto, Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",24
Omah Sawah Syariah,"<span itemprop=""address"">Jalan Bulus Tempel, Pakem, Kab. Sleman, DI Yogyakarta</span>",4
Joglo Residence Hotel,"<span itemprop=""address"">Jl. Perumnas No. 16, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
Hotel Tjiptorini Jaya,"<span itemprop=""address"">Jl. Laksda Adisucipto KM 6, Tempel, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",6
OYO 1338 Hotel Sartika,"<span itemprop=""address"">Jl. R. E. Martadinata No.21, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia, Yogyakarta</span>",21
Hotel Berlian Malioboro,"<span itemprop=""address"">Jl. Pasar Kembang No. 61, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Indonesia</span>",3
Kangen Boutique Hotel,"<span itemprop=""address"">Jl. Magelang Km 5, 8 No. 27, Yogyakarta, Daerah Istimewa Yogyakarta 55284</span>",4
OYO 1118 Artomoro Family Guesthouse,"<span itemprop=""address"">Jl. Gading Sari No.99, Kalor, Banyuraden, Kec. Gamping, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",13
Hotel di Jogja,,1
OYO 2224 Lousiana House Near RS Condong Catur,"<span itemprop=""address"">Jl. Candi Gebang Permai Blok EE</span>",2
Hotel Puri Pangeran Yogyakarta,"<span itemprop=""address"">Jl. Masjid No.7 Pakualaman (Near Malioboro), Pakualaman, Yogyakarta, Indonesia</span>",4
Embe Pitoe Syariah Gejayan,"<span itemprop=""address"">l. Mrican Baru No.7Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",6
OYO 3267 Omah Suryo,"<span itemprop=""address"">Jl. Suryowijayan No.5B, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142</span>",5
Hotel Monica,"<span itemprop=""address"">Jl. Sosrowijayan GT I/192 Yogyakarta </span>",21
Hotel Bladok & Restaurant Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 76, Yogyakarta, Gedongtengen, Yogyakarta, Indonesia</span>",4
OYO 1303 Golden Inn 2 Near RS Bethesda,"<span itemprop=""address"">Jl. Kranggan No.2, Cokrodiningratan, Jetis, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",9
Hotel Nugraha,"<span itemprop=""address"">Jl. Sartono No.813, Mantrijeron, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",10
Hotel Sala,"<span itemprop=""address"">Jl. Munggur, No. 42, Demangan, Gondokusuman, Yogyakarta, Indonesia</span>",11
Amaris Hotel Malioboro Jogja,"<span itemprop=""address"">Jl. Pajeksan No.10, Malioboro, Yogyakarta, Indonesia</span>",4
OYO 426 Hotel Gading Resto Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman , Brontokusuman, Mergangsan</span>",9
OYO 2314 Hapsari Homestay Syariah,"<span itemprop=""address"">Kadilangu Kidul, Temon Kulon, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa</span>",3
Oke Baik Hostel,"<span itemprop=""address"">Jl. Prawirotaman 99 Batik Wahyu Tumurun, MG III/No 566. Mergangsan, Daerah Istimewa Yogyakarta, Indonesia</span>",4
OYO 2173 Bnv House Babarsari,"<span itemprop=""address""> Jl. Tambak Bayan No.11 No. 9A, Caturtunggal, Kec. Depok, Yogyakarta, Daerah Istimewa Yogyakarta</span>",9
Hotel Safara Yogyakarta,"<span itemprop=""address"">Jl. Veteran No. 161, Jogja, Yogyakarta, Indonesia</span>",9
OYO 572 Omah Gedongkuning Syariah Homestay,"<span itemprop=""address"">KG I/27, Jl. Kusumanegara, Gg. Ganesha, Rejowinangun, Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5
Penginapan Sedyo Rahayu,"<span itemprop=""address"">Jl. Astomulyo No. 45, Kaliurang Barat, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten SlemanYogyakarta, Indonesia</span>",25
JJ House Wahid Hasyim,"<span itemprop=""address"">Jl. Wahid Hasyim gg. Mawar No.5, Condong Catur</span>",5
Villa Mak Cik,"<span itemprop=""address"">Wonorejo, Hargobinangun, Pakem, Sleman, Yogyakarta, Indonesia</span>",2
